codigo;nombre_colegio;calendario;genero;localización;naturaleza;codigo_m_municipio
147707000156;INSTITUCION EDUCATIVA DEPARTAMENTAL ANTONIO BRUJES CARMONA;A;MIXTO;URBANO;OFICIAL;47707
311001105383;GIMN SAN ANGELO;A;MIXTO;URBANO;NO OFICIAL;11001
113001001719;INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.;A;MIXTO;URBANO;OFICIAL;13001
111001107069;COLEGIO VIRGINIA GUTIERREZ DE PINEDA (IED);A;MIXTO;URBANO;OFICIAL;11001
111001094897;COLEGIO PALERMO  IEDIP  (IED);A;MIXTO;URBANO;OFICIAL;11001
308758800002;INSTITUTO PARA LA CAPACITACIÓN SIMÓN RODRÍGUEZ;A;MIXTO;URBANO;NO OFICIAL;8758
376001000608;CORPORACION EDUCATIVA ADVENTISTA- CÁMBULOS;A;MIXTO;URBANO;NO OFICIAL;76001
168001000525;IE ESCUELA NORMAL SUPERIOR DE BUCARAMANGA;A;MIXTO;URBANO;OFICIAL;68001
125754001035;INSTITUCION EDUCATIVA INTEGRADO DE SOACHA;A;MIXTO;URBANO;OFICIAL;25754
370001039395;CENTRO EDUCATIVO LICEO PANAMERICANO;A;MIXTO;URBANO;NO OFICIAL;70001
213006000171;I.E.T.A. Y MINERA MONTECRISTO;A;MIXTO;URBANO;OFICIAL;13458
247161000022;INSTITUCION EDUCATIVA DEPARTAMENTAL LUZ MARINA CABALLERO;A;MIXTO;RURAL;OFICIAL;47205
311001110034;COLEGIO UNILATINA;A;MIXTO;URBANO;NO OFICIAL;11001
311001019444;COL JOSE JOAQUIN VARGAS;A;MIXTO;URBANO;NO OFICIAL;11001
105001012106;INST EDUC JUAN MARIA CESPEDES;A;MIXTO;URBANO;OFICIAL;5001
220250000120;I.E. BENITO RAMOS TRESPALACIOS;A;MIXTO;RURAL;OFICIAL;20250
115238000698;COLEGIO GUILLERMO LEON VALENCIA;A;MIXTO;URBANO;OFICIAL;15238
341001005237;COL  COOPERATIVO UTRAHUILCA;A;MIXTO;URBANO;NO OFICIAL;41001
176606000422;IE JORGE ELIECER GAITAN;A;MIXTO;URBANO;OFICIAL;76606
308001016789;INSTITUTO REINA DE LOS ANGELES;A;MIXTO;URBANO;NO OFICIAL;8001
311001044783;LIC PSICOPEDAG TIBABITA;A;MIXTO;URBANO;NO OFICIAL;11001
111001086665;COLEGIO RAMON DE ZUBIRIA (IED);A;MIXTO;URBANO;OFICIAL;11001
108296800002;INSTITUCIÓN EDUCATIVA TECNICA VILLA OLIMPICA;A;MIXTO;URBANO;OFICIAL;8296
108001003408;INSTITUCION EDUCATIVA DISTRITAL SAGRADO CORAZON DE JESUS;A;MIXTO;URBANO;OFICIAL;8001
385001004378;COLEGIO SAN MATEO APOSTOL;A;MIXTO;URBANO;NO OFICIAL;85001
111279000966;COLEGIO INTEGRADO DE FONTIBON IBEP  (IED);A;MIXTO;URBANO;OFICIAL;11001
108078000215;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL PEDRO A. OÑORO DE BARANOA;A;MIXTO;URBANO;OFICIAL;8078
311001033374;COL SUPERIOR DE OCCIDENTE;A;MIXTO;URBANO;NO OFICIAL;11001
219212000690;INSTITUCION EDUCATIVA CARMENCITA CARDONA DE GUTIERREZ;A;MIXTO;RURAL;OFICIAL;19212
185001000268;IE BRAULIO GONZALEZ;A;MIXTO;RURAL;OFICIAL;85001
108433000027;INSTITUCION EDUCATIVA ANTONIA SANTOS;A;MIXTO;URBANO;OFICIAL;8433
123855000347;INS EDUCATIVA JOSE MARIA CARBONELL;A;MIXTO;URBANO;OFICIAL;23855
154518000281;COL AGUEDA GALLARDO DE VILLAMIZAR;A;MIXTO;URBANO;OFICIAL;54518
223417002749;IE EUGENIO SANCHEZ CARDENAS;A;MIXTO;RURAL;OFICIAL;23417
125754003569;INSTITUCION EDUCATIVA  NUEVO COMPARTIR;A;MIXTO;URBANO;OFICIAL;25754
308001078768;INSTITUTO CENTRO DE SISTEMAS LTDA.;A;MIXTO;URBANO;NO OFICIAL;8001
208638000059;INSTITUCION EDUCATIVA SAN JOSE DE AGUADA DE PABLO;A;MIXTO;RURAL;OFICIAL;8638
111001011908;ESC. NORMAL SUPERIOR DISTRITAL MARIA MONTESSORI (IED);A;MIXTO;URBANO;OFICIAL;11001
120011001039;I.E. SAN MIGUEL;A;MIXTO;URBANO;OFICIAL;20011
313052000384;CONCENTRACION EDUCATIVA CAROLINA GAMERO PEREZ;A;MIXTO;URBANO;NO OFICIAL;13052
125286000697;I.E.D. MIGUEL ANTONIO CARO;A;MIXTO;URBANO;OFICIAL;25286
363001001421;NUESTRA SEÑORA DE FATIMA;A;MIXTO;RURAL;OFICIAL;63001
381001002957;COLEGIO COMFIAR;A;MIXTO;URBANO;NO OFICIAL;81001
108001078793;INSTITUCION EDUCATIVA DISTRITAL FUNDACION PIES DESCALZOS;A;MIXTO;URBANO;OFICIAL;8001
154498000018;COL JOSE EUSEBIO CARO;A;MIXTO;URBANO;OFICIAL;54498
108758000015;INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS;A;MIXTO;URBANO;OFICIAL;8758
111001014346;COLEGIO RODRIGO ARENAS BETANCOURT  (IED);A;MIXTO;URBANO;OFICIAL;11001
168001001921;IE TEC DAMASO ZAPATA;A;MIXTO;URBANO;OFICIAL;68001
150568000147;IE JORGE ELIECER GAITAN;A;MIXTO;URBANO;OFICIAL;50568
270713000059;INST EDUC SAN ANTONIO;A;MIXTO;RURAL;OFICIAL;70713
308001075858;COLEGIO SANTA MARIA DE LA PROVIDENCIA;A;MIXTO;URBANO;NO OFICIAL;8001
120250000052;I.E. NACIONALIZADO EL PASO;A;MIXTO;URBANO;OFICIAL;20250
125817000115;INSTITUCION EDUCATIVA DEPARTAMENTAL DE BACHILLERATO TECNICO COMERCIA;A;MIXTO;URBANO;OFICIAL;25817
113244000010;I.E. MANUEL EDMUNDO MENDOZA;A;MIXTO;URBANO;OFICIAL;13244
270001038351;INSTITUCION EDUCATIVA TECNICO AGROPECUARIO LA GALLERA;A;MIXTO;RURAL;OFICIAL;70001
341298000271;COL. COOP. LA PRESENTACION;A;MIXTO;URBANO;NO OFICIAL;41298
223686000132;INSTITUCION EDUCATIVA VALPARAISO;A;MIXTO;RURAL;OFICIAL;23686
311001001618;LIC PARROQ SAN GREGORIO MAGNO;A;MIXTO;URBANO;NO OFICIAL;11001
368001000672;COLEGIO GIMNASIO SUPERIOR;A;MIXTO;URBANO;NO OFICIAL;68001
305615001703;INSTITUCION EDUCATIVA JUAN SEBASTIAN DE CENSA;A;MIXTO;URBANO;NO OFICIAL;5615
