codigo;nombre_colegio;calendario;genero;localización;naturaleza;codigo_m_municipio
1,47707E+11;INSTITUCION EDUCATIVA DEPARTAMENTAL ANTONIO BRUJES CARMONA;A;MIXTO;URBANO;OFICIAL;47707
3,11001E+11;GIMN SAN ANGELO;A;MIXTO;URBANO;NO OFICIAL;11001
1,13001E+11;INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.;A;MIXTO;URBANO;OFICIAL;13001
1,11001E+11;COLEGIO VIRGINIA GUTIERREZ DE PINEDA (IED);A;MIXTO;URBANO;OFICIAL;11001
1,11001E+11;COLEGIO PALERMO  IEDIP  (IED);A;MIXTO;URBANO;OFICIAL;11001
3,08759E+11;INSTITUTO PARA LA CAPACITACIÓN SIMÓN RODRÍGUEZ;A;MIXTO;URBANO;NO OFICIAL;8758
3,76001E+11;CORPORACION EDUCATIVA ADVENTISTA- CÁMBULOS;A;MIXTO;URBANO;NO OFICIAL;76001
1,68001E+11;IE ESCUELA NORMAL SUPERIOR DE BUCARAMANGA;A;MIXTO;URBANO;OFICIAL;68001
1,25754E+11;INSTITUCION EDUCATIVA INTEGRADO DE SOACHA;A;MIXTO;URBANO;OFICIAL;25754
3,70001E+11;CENTRO EDUCATIVO LICEO PANAMERICANO;A;MIXTO;URBANO;NO OFICIAL;70001
2,13006E+11;I.E.T.A. Y MINERA MONTECRISTO;A;MIXTO;URBANO;OFICIAL;13458
2,47161E+11;INSTITUCION EDUCATIVA DEPARTAMENTAL LUZ MARINA CABALLERO;A;MIXTO;RURAL;OFICIAL;47205
3,11001E+11;COLEGIO UNILATINA;A;MIXTO;URBANO;NO OFICIAL;11001
3,11001E+11;COL JOSE JOAQUIN VARGAS;A;MIXTO;URBANO;NO OFICIAL;11001
1,05001E+11;INST EDUC JUAN MARIA CESPEDES;A;MIXTO;URBANO;OFICIAL;5001
2,2025E+11;I.E. BENITO RAMOS TRESPALACIOS;A;MIXTO;RURAL;OFICIAL;20250
1,15238E+11;COLEGIO GUILLERMO LEON VALENCIA;A;MIXTO;URBANO;OFICIAL;15238
3,41001E+11;COL  COOPERATIVO UTRAHUILCA;A;MIXTO;URBANO;NO OFICIAL;41001
1,76606E+11;IE JORGE ELIECER GAITAN;A;MIXTO;URBANO;OFICIAL;76606
3,08001E+11;INSTITUTO REINA DE LOS ANGELES;A;MIXTO;URBANO;NO OFICIAL;8001
3,11001E+11;LIC PSICOPEDAG TIBABITA;A;MIXTO;URBANO;NO OFICIAL;11001
1,11001E+11;COLEGIO RAMON DE ZUBIRIA (IED);A;MIXTO;URBANO;OFICIAL;11001
1,08297E+11;INSTITUCIÓN EDUCATIVA TECNICA VILLA OLIMPICA;A;MIXTO;URBANO;OFICIAL;8296
1,08001E+11;INSTITUCION EDUCATIVA DISTRITAL SAGRADO CORAZON DE JESUS;A;MIXTO;URBANO;OFICIAL;8001
3,85001E+11;COLEGIO SAN MATEO APOSTOL;A;MIXTO;URBANO;NO OFICIAL;85001
1,11279E+11;COLEGIO INTEGRADO DE FONTIBON IBEP  (IED);A;MIXTO;URBANO;OFICIAL;11001
1,08078E+11;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL PEDRO A. OÑORO DE BARANOA;A;MIXTO;URBANO;OFICIAL;8078
3,11001E+11;COL SUPERIOR DE OCCIDENTE;A;MIXTO;URBANO;NO OFICIAL;11001
2,19212E+11;INSTITUCION EDUCATIVA CARMENCITA CARDONA DE GUTIERREZ;A;MIXTO;RURAL;OFICIAL;19212
1,85001E+11;IE BRAULIO GONZALEZ;A;MIXTO;RURAL;OFICIAL;85001
1,08433E+11;INSTITUCION EDUCATIVA ANTONIA SANTOS;A;MIXTO;URBANO;OFICIAL;8433
1,23855E+11;INS EDUCATIVA JOSE MARIA CARBONELL;A;MIXTO;URBANO;OFICIAL;23855
1,54518E+11;COL AGUEDA GALLARDO DE VILLAMIZAR;A;MIXTO;URBANO;OFICIAL;54518
2,23417E+11;IE EUGENIO SANCHEZ CARDENAS;A;MIXTO;RURAL;OFICIAL;23417
1,25754E+11;INSTITUCION EDUCATIVA  NUEVO COMPARTIR;A;MIXTO;URBANO;OFICIAL;25754
3,08001E+11;INSTITUTO CENTRO DE SISTEMAS LTDA.;A;MIXTO;URBANO;NO OFICIAL;8001
2,08638E+11;INSTITUCION EDUCATIVA SAN JOSE DE AGUADA DE PABLO;A;MIXTO;RURAL;OFICIAL;8638
1,11001E+11;ESC. NORMAL SUPERIOR DISTRITAL MARIA MONTESSORI (IED);A;MIXTO;URBANO;OFICIAL;11001
1,20011E+11;I.E. SAN MIGUEL;A;MIXTO;URBANO;OFICIAL;20011
3,13052E+11;CONCENTRACION EDUCATIVA CAROLINA GAMERO PEREZ;A;MIXTO;URBANO;NO OFICIAL;13052
1,25286E+11;I.E.D. MIGUEL ANTONIO CARO;A;MIXTO;URBANO;OFICIAL;25286
3,63001E+11;NUESTRA SEÑORA DE FATIMA;A;MIXTO;RURAL;OFICIAL;63001
3,81001E+11;COLEGIO COMFIAR;A;MIXTO;URBANO;NO OFICIAL;81001
1,08001E+11;INSTITUCION EDUCATIVA DISTRITAL FUNDACION PIES DESCALZOS;A;MIXTO;URBANO;OFICIAL;8001
1,54498E+11;COL JOSE EUSEBIO CARO;A;MIXTO;URBANO;OFICIAL;54498
1,08758E+11;INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS;A;MIXTO;URBANO;OFICIAL;8758
1,11001E+11;COLEGIO RODRIGO ARENAS BETANCOURT  (IED);A;MIXTO;URBANO;OFICIAL;11001
1,68001E+11;IE TEC DAMASO ZAPATA;A;MIXTO;URBANO;OFICIAL;68001
1,50568E+11;IE JORGE ELIECER GAITAN;A;MIXTO;URBANO;OFICIAL;50568
2,70713E+11;INST EDUC SAN ANTONIO;A;MIXTO;RURAL;OFICIAL;70713
