codigo_d;nombre_d;numero_evaluados_d
47;MAGDALENA;16628
11;BOGOTÁ;83601
13;BOLIVAR;25233
8;ATLANTICO;32180
76;VALLE;38641
68;SANTANDER;25474
25;CUNDINAMARCA;36197
70;SUCRE;10934
5;ANTIOQUIA;74229
20;CESAR;13277
15;BOYACA;16764
41;HUILA;14089
85;CASANARE;5994
19;CAUCA;13981
23;CORDOBA;20038
54;NORTE SANTANDER;15769
63;QUINDIO;6411
81;ARAUCA;3360
50;META;12463
27;CHOCO;4891
44;LA GUAJIRA;8841
88;SAN ANDRES;628
73;TOLIMA;16463
52;NARIÑO;16904
17;CALDAS;10434
97;VAUPES;354
66;RISARALDA;10701
86;PUTUMAYO;4032
99;VICHADA;512
18;CAQUETA;4634
91;AMAZONAS;826
95;GUAVIARE;1018
94;GUAINIA;269
99999;EXTRANJERO;135
