codigo_d_departamento;nombre_m;codigo_m;numero_evaluados_m
47;SANTA ANA;47707;331
11;BOGOTÁ D.C.;11001;83600
13;CARTAGENA DE INDIAS;13001;13535
8;SOLEDAD;8758;6999
76;CALI;76001;16542
68;BUCARAMANGA;68001;6650
25;SOACHA;25754;8117
70;SINCELEJO;70001;3936
13;MONTECRISTO;13458;52
47;CONCORDIA;47205;145
5;MEDELLÍN;5001;28222
20;EL PASO;20250;399
15;DUITAMA;15238;1955
41;NEIVA;41001;4509
76;RESTREPO;76606;226
8;BARRANQUILLA;8001;17177
8;GALAPA;8296;598
85;YOPAL;85001;2822
8;BARANOA;8078;797
19;CORINTO;19212;307
8;MALAMBO;8433;1490
23;VALENCIA;23855;476
54;PAMPLONA;54518;617
23;LORICA;23417;1565
8;SABANALARGA;8638;1223
20;AGUACHICA;20011;1165
13;ARJONA;13052;984
25;FUNZA;25286;1361
63;ARMENIA;63001;3390
81;ARAUCA;81001;1163
54;OCAÑA;54498;1262
50;PUERTO GAITÁN;50568;407
70;SAN ONOFRE;70713;592
25;TOCANCIPÁ;25817;475
13;EL CARMEN DE BOLÍVAR;13244;933
41;GARZÓN;41298;1122
23;SAN PELAYO;23686;519
5;RIONEGRO;5615;1821
20;VALLEDUPAR;20001;5752
50;PUERTO LÓPEZ;50573;416
50;CUBARRAL;50223;77
81;SARAVENA;81736;714
70;TOLÚ VIEJO;70823;240
8;PUERTO COLOMBIA;8573;459
5;BELLO;5088;5804
54;LOS PATIOS;54405;811
25;LA MESA;25386;405
27;QUIBDÓ;27001;1675
76;RIOFRÍO;76616;143
44;FONSECA;44279;521
70;SAMPUÉS;70670;471
23;LA APARTADA;23350;132
23;CIÉNAGA DE ORO;23189;642
44;BARRANCAS;44078;416
23;SAHAGÚN;23660;1185
25;NOCAIMA;25491;63
68;BARRANCABERMEJA;68081;2655
13;TURBACO;13836;866
23;CERETÉ;23162;1234
19;GUAPÍ;19318;278
70;SAN MARCOS;70708;687
19;MIRANDA;19455;396
47;SANTA MARTA;47001;6881
47;EL RETÉN;47268;279
20;AGUSTÍN CODAZZI;20013;645
13;HATILLO DE LOBA;13300;130
25;SUESCA;25772;251
47;ARIGUANÍ;47058;349
15;TUNJA;15001;2735
47;SAN SEBASTIÁN DE BUENAVISTA;47692;287
23;PUEBLO NUEVO;23570;317
88;SAN ANDRÉS;88001;568
68;FLORIDABLANCA;68276;3174
44;RIOHACHA;44001;2457
23;SAN ANTERO;23672;337
23;AYAPEL;23068;453
13;ACHÍ;13006;251
20;PELAYA;20550;251
5;SAN JUAN DE URABÁ;5659;251
20;CURUMANÍ;20228;427
68;SUAITA;68770;116
44;URIBIA;44847;855
20;BOSCONIA;20060;513
23;PLANETA RICA;23555;1004
19;CALDONO;19137;370
41;SUAZA;41770;241
68;BARBOSA;68077;477
47;FUNDACIÓN;47288;1069
23;PUERTO LIBERTADOR;23580;372
13;PINILLOS;13549;266
13;MORALES;13473;187
27;UNGUÍA;27800;103
47;CIÉNAGA;47189;1356
23;COTORRA;23300;229
70;LOS PALMITOS;70418;269
27;ALTO BAUDÓ;27025;115
68;MÁLAGA;68432;394
73;ORTEGA;73504;338
54;TOLEDO;54820;212
68;PIEDECUESTA;68547;1979
76;BUENAVENTURA;76109;3488
25;RICAURTE;25612;111
19;TOTORÓ;19824;219
76;FLORIDA;76275;653
23;MONTERÍA;23001;5265
23;TIERRALTA;23807;928
70;GALERAS;70235;266
76;PALMIRA;76520;2797
13;MAHATES;13433;364
52;IPIALES;52356;1691
5;SOPETRÁN;5761;188
19;SANTANDER DE QUILICHAO;19698;1251
41;SANTA MARÍA;41676;142
44;ALBANIA;44035;329
17;MANIZALES;17001;4262
70;GUARANDA;70265;110
47;NUEVA GRANADA;47460;179
8;SANTO TOMÁS;8685;339
97;MITÚ;97001;300
8;CANDELARIA;8141;165
5;CHIGORODÓ;5172;822
13;SANTA ROSA;13683;186
41;CAMPOALEGRE;41132;360
13;ALTOS DEL ROSARIO;13030;90
5;APARTADÓ;5045;1750
66;PEREIRA;66001;5588
44;MAICAO;44430;2284
66;DOSQUEBRADAS;66170;2013
47;SALAMINA;47675;95
41;ACEVEDO;41006;344
54;TIBÚ;54810;518
85;TRINIDAD;85430;146
70;MAJAGUAL;70429;415
19;PIENDAMÓ - TUNÍA;19548;474
86;PUERTO ASÍS;86568;813
50;VILLAVICENCIO;50001;6450
5;EL BAGRE;5250;678
25;FUSAGASUGÁ;25290;2014
76;TULUÁ;76834;2379
19;TORIBÍO;19821;332
13;SAN JUAN NEPOMUCENO;13657;458
54;CÚCUTA;54001;8264
99;SANTA ROSALÍA;99624;40
25;SOPÓ;25758;373
18;PUERTO RICO;18592;237
68;LEBRIJA;68406;515
68;SOCORRO;68755;507
88;PROVIDENCIA;88564;59
41;TELLO;41799;142
8;SABANAGRANDE;8634;485
13;MARGARITA;13440;132
54;LA ESPERANZA;54385;111
73;ROVIRA;73624;342
52;SAN ANDRÉS DE TUMACO;52835;2185
23;MONTELÍBANO;23466;1088
13;MAGANGUÉ;13430;1423
47;PLATO;47555;614
52;FUNES;52287;70
41;LA PLATA;41396;822
70;SUCRE;70771;276
41;GIGANTE;41306;305
54;PUERTO SANTANDER;54553;112
68;PUENTE NACIONAL;68572;177
20;SAN DIEGO;20750;212
5;ENVIGADO;5266;2270
99;CUMARIBO;99773;150
13;SAN CRISTÓBAL;13620;93
5;NARIÑO;5483;92
20;MANAURE BALCÓN DEL CESAR;20443;134
5;PEQUE;5543;104
5;EL SANTUARIO;5697;417
44;DISTRACCIÓN;44098;113
13;MARÍA LA BAJA;13442;575
8;JUAN DE ACOSTA;8372;205
47;EL PIÑÓN;47258;205
19;LA VEGA;19397;170
13;MOMPÓS;13468;486
13;BARRANCO DE LOBA;13074;160
47;ALGARROBO;47030;164
68;GÁMBITA;68298;37
70;EL ROBLE;70233;126
68;VALLE DE SAN JOSÉ;68855;88
47;TENERIFE;47798;181
23;MOMIL;23464;250
19;SILVIA;19743;355
5;ITAGÜÍ;5360;3125
25;ALBÁN;25019;69
5;MUTATÁ;5480;199
18;FLORENCIA;18001;2236
15;SOGAMOSO;15759;1913
17;ANSERMA;17042;338
76;CARTAGO;76147;1381
5;YOLOMBÓ;5890;271
13;CÓRDOBA;13212;216
18;LA MONTAÑITA;18410;136
25;GIRARDOT;25307;1188
18;SAN VICENTE DEL CAGUÁN;18753;595
5;LIBORINA;5411;170
25;CHÍA;25175;1715
18;CURILLO;18205;119
5;TURBO;5837;1632
5;ENTRERRÍOS;5264;137
13;SAN MARTÍN DE LOBA;13667;200
70;BUENAVISTA;70110;125
76;CAICEDONIA;76122;355
76;ANSERMANUEVO;76041;219
47;SABANAS DE SAN ÁNGEL;47660;210
50;FUENTEDEORO;50287;168
15;SAN PABLO DE BORBUR;15681;78
23;SAN ANDRÉS DE SOTAVENTO;23670;649
47;ARACATACA;47053;483
44;DIBULLA;44090;203
47;ZONA BANANERA;47980;798
76;TORO;76823;156
76;ZARZAL;76895;468
8;PIOJÓ;8549;58
47;EL BANCO;47245;854
13;EL PEÑÓN;13268;73
5;SAN JERÓNIMO;5656;206
44;HATONUEVO;44378;259
52;PASTO;52001;4551
25;GUACHETÁ;25317;164
68;CERRITO;68162;85
54;EL ZULIA;54261;227
5;CAUCASIA;5154;1156
81;TAME;81794;704
5;FRONTINO;5284;201
17;SUPÍA;17777;457
63;QUIMBAYA;63594;357
20;ASTREA;20032;237
13;TALAIGUA NUEVO;13780;167
68;GIRÓN;68307;1790
8;MANATÍ;8436;215
27;JURADÓ;27372;39
52;OLAYA HERRERA;52490;185
8;TUBARÁ;8832;55
70;OVEJAS;70508;285
8;LURUACO;8421;311
19;POPAYÁN;19001;3564
44;MANAURE;44560;404
44;SAN JUAN DEL CESAR;44650;547
73;PURIFICACIÓN;73585;285
52;POLICARPA;52540;109
23;CHINÚ;23182;533
20;LA GLORIA;20383;149
20;BECERRIL;20045;208
52;GUALMATÁN;52323;71
47;PUEBLOVIEJO;47570;235
76;VERSALLES;76863;92
20;CHIMICHAGUA;20175;415
19;GUACHENÉ;19300;217
50;GRANADA;50313;1099
91;LETICIA;91001;632
13;CALAMAR;13140;223
13;TURBANÁ;13838;206
18;SOLITA;18785;63
66;BALBOA;66075;59
5;SAN LUIS;5660;172
25;ANAPOIMA;25035;198
52;CUASPÚD;52224;91
81;FORTUL;81300;253
18;EL DONCELLO;18247;261
27;RIOSUCIO;27615;224
52;LA TOLA;52390;82
27;BAJO BAUDÓ;27077;157
13;CICUCO;13188;137
18;CARTAGENA DEL CHAIRÁ;18150;298
23;PUERTO ESCONDIDO;23574;248
70;COVEÑAS;70221;183
5;SAN PEDRO DE URABÁ;5665;405
19;BOLÍVAR;19100;375
15;TOGÜÍ;15816;70
73;PLANADAS;73555;299
5;ARBOLETES;5051;394
68;PUERTO WILCHES;68575;296
27;BOJAYÁ;27099;95
20;PAILITAS;20517;188
23;SAN BERNARDO DEL VIENTO;23675;394
20;SAN MARTÍN;20770;257
19;PIAMONTE;19533;43
19;FLORENCIA;19290;68
85;TÁMARA;85400;67
85;HATO COROZAL;85125;151
52;MAGÜÍ;52427;76
19;PUERTO TEJADA;19573;483
86;PUERTO LEGUÍZAMO;86573;222
19;SAN SEBASTIÁN;19693;82
68;PINCHOTE;68549;36
20;CHIRIGUANÁ;20178;288
47;GUAMAL;47318;366
8;CAMPO DE LA CRUZ;8137;232
5;VIGÍA DEL FUERTE;5873;100
73;NATAGAIMA;73483;212
91;PUERTO NARIÑO;91540;79
99;LA PRIMAVERA;99524;106
25;PACHO;25513;307
52;PUERRES;52573;103
54;CUCUTILLA;54223;102
95;SAN JOSÉ DEL GUAVIARE;95001;796
47;PIVIJAY;47551;394
52;GUACHUCAL;52317;241
5;SANTA FÉ DE ANTIOQUIA;5042;338
73;CHAPARRAL;73168;551
5;ZARAGOZA;5895;333
73;IBAGUÉ;73001;7221
73;ESPINAL;73268;829
76;LA UNIÓN;76400;381
94;BARRANCO MINAS;94343;72
27;ATRATO;27050;74
